date,up_15_plus,up_10_15,up_5_10,up_3_5,down_3_5,down_5_10,down_10_15,down_15_plus,neutral
2026-01-27,0,2,13,32,22,7,1,1,422
2026-01-28,0,7,41,80,8,1,0,0,363
2026-01-29,1,1,11,31,19,7,1,0,429
2026-01-30,0,1,13,61,12,11,3,0,399
2026-02-02,0,2,5,15,65,35,2,0,376
2026-02-03,4,13,59,115,3,1,0,0,305
2026-02-04,1,1,15,38,20,12,0,0,413
2026-02-05,0,0,8,10,26,7,0,0,446
2026-02-06,0,0,0,5,2,2,0,0,59
2026-02-09,0,0,0,0,0,0,0,0,0
2026-02-10,1,0,7,18,7,1,0,0,252
2026-02-11,0,0,6,27,14,4,0,0,449
2026-02-12,0,0,2,6,29,14,0,0,449
2026-02-13,0,1,4,4,56,16,2,0,417
2026-02-15,0,1,4,4,56,16,2,0,417
2026-02-16,0,1,6,19,11,5,1,0,457
2026-02-17,0,2,3,28,6,1,0,0,461
